,directory_name,directory_path,file_name,original_size,small_path,medium_path,big_path,small_size,medium_size,big_size,small_dpi,medium_dpi,big_dpi
59,qantasair,tickets/qantasair,qantasairTicket.jpeg,medium,tickets/qantasair/im_small/qantasairTicket.jpeg,tickets/qantasair/im_medium/qantasairTicket.jpeg,tickets/qantasair/im_big/qantasairTicket.jpeg,"(585, 588)","(450, 483)","(985, 988)","(96, 96)","(96, 96)","(96, 96)"
60,aircanada,tickets/aircanada,aircanadaTicket.jpeg,medium,tickets/aircanada/im_small/aircanadaTicket.jpeg,tickets/aircanada/im_medium/aircanadaTicket.jpeg,tickets/aircanada/im_big/aircanadaTicket.jpeg,"(250, 283)","(564, 229)","(650, 683)","(0, 0)","(0, 0)","(0, 0)"
61,aviancaair,tickets/aviancaair,aviancaairTicket.png,medium,tickets/aviancaair/im_small/aviancaairTicket.png,tickets/aviancaair/im_medium/aviancaairTicket.png,tickets/aviancaair/im_big/aviancaairTicket.png,"(364, 29)","(595, 841)","(764, 429)","(0, 0)","(0, 0)","(0, 0)"
62,deltaairlines,tickets/deltaairlines,deltairTicket.jpeg,medium,tickets/deltaairlines/im_small/deltairTicket.jpeg,tickets/deltaairlines/im_medium/deltairTicket.jpeg,tickets/deltaairlines/im_big/deltairTicket.jpeg,"(395, 641)","(640, 287)","(795, 1041)","(0, 0)","(0, 0)","(0, 0)"
63,ethiadair,tickets/ethiadair,ethiadairTicket.jpeg,medium,tickets/ethiadair/im_small/ethiadairTicket.jpeg,tickets/ethiadair/im_medium/ethiadairTicket.jpeg,tickets/ethiadair/im_big/ethiadairTicket.jpeg,"(440, 87)","(415, 595)","(840, 487)","(72, 72)","(72, 72)","(72, 72)"
64,finnair,tickets/finnair,finnairTicket.jpeg,medium,tickets/finnair/im_small/finnairTicket.jpeg,tickets/finnair/im_medium/finnairTicket.jpeg,tickets/finnair/im_big/finnairTicket.jpeg,"(215, 395)","(789, 1113)","(615, 795)","(96, 96)","(96, 96)","(96, 96)"
65,korenair,tickets/korenair,koreanairTicket.png,medium,tickets/korenair/im_small/koreanairTicket.png,tickets/korenair/im_medium/koreanairTicket.png,tickets/korenair/im_big/koreanairTicket.png,"(589, 913)","(1364, 1514)","(989, 1313)","(144, 144)","(144, 144)","(144, 144)"
66,azulair,tickets/azulair,azulairTicket.jpeg,medium,tickets/azulair/im_small/azulairTicket.jpeg,tickets/azulair/im_medium/azulairTicket.jpeg,tickets/azulair/im_big/azulairTicket.jpeg,"(1164, 1314)","(563, 859)","(1564, 1714)","(144, 144)","(144, 144)","(144, 144)"
67,skyexpressair,tickets/skyexpressair,skyexpressairTicket.jpeg,medium,tickets/skyexpressair/im_small/skyexpressairTicket.jpeg,tickets/skyexpressair/im_medium/skyexpressairTicket.jpeg,tickets/skyexpressair/im_big/skyexpressairTicket.jpeg,"(363, 659)","(785, 1111)","(763, 1059)","(96, 96)","(96, 96)","(96, 96)"
68,airberlin,tickets/airberlin,airberlin3.jpeg,medium,tickets/airberlin/im_small/airberlin3.jpeg,tickets/airberlin/im_medium/airberlin3.jpeg,tickets/airberlin/im_big/airberlin3.jpeg,"(585, 911)","(787, 1115)","(985, 1311)","(96, 96)","(96, 96)","(96, 96)"
69,airberlin,tickets/airberlin,airberlin2.jpeg,medium,tickets/airberlin/im_small/airberlin2.jpeg,tickets/airberlin/im_medium/airberlin2.jpeg,tickets/airberlin/im_big/airberlin2.jpeg,"(587, 915)","(787, 1111)","(987, 1315)","(96, 96)","(96, 96)","(96, 96)"
70,airberlin,tickets/airberlin,airberlin4.jpeg,medium,tickets/airberlin/im_small/airberlin4.jpeg,tickets/airberlin/im_medium/airberlin4.jpeg,tickets/airberlin/im_big/airberlin4.jpeg,"(587, 911)","(793, 1113)","(987, 1311)","(96, 96)","(96, 96)","(96, 96)"
71,airberlin,tickets/airberlin,airberlin1.jpeg,medium,tickets/airberlin/im_small/airberlin1.jpeg,tickets/airberlin/im_medium/airberlin1.jpeg,tickets/airberlin/im_big/airberlin1.jpeg,"(593, 913)","(787, 1111)","(993, 1313)","(96, 96)","(96, 96)","(96, 96)"
72,blueair,tickets/blueair,blueairTicket.jpeg,medium,tickets/blueair/im_small/blueairTicket.jpeg,tickets/blueair/im_medium/blueairTicket.jpeg,tickets/blueair/im_big/blueairTicket.jpeg,"(587, 911)","(787, 1111)","(987, 1311)","(96, 96)","(96, 96)","(96, 96)"
73,blueair,tickets/blueair,blueairTicket2.jpeg,medium,tickets/blueair/im_small/blueairTicket2.jpeg,tickets/blueair/im_medium/blueairTicket2.jpeg,tickets/blueair/im_big/blueairTicket2.jpeg,"(587, 911)","(787, 1111)","(987, 1311)","(96, 96)","(96, 96)","(96, 96)"
74,flynasairline,tickets/flynasairline,flynasairTicket.jpeg,medium,tickets/flynasairline/im_small/flynasairTicket.jpeg,tickets/flynasairline/im_medium/flynasairTicket.jpeg,tickets/flynasairline/im_big/flynasairTicket.jpeg,"(587, 911)","(564, 1002)","(987, 1311)","(72, 72)","(72, 72)","(72, 72)"
75,rynair,tickets/rynair,rynairTicket.png,medium,tickets/rynair/im_small/rynairTicket.png,tickets/rynair/im_medium/rynairTicket.png,tickets/rynair/im_big/rynairTicket.png,"(364, 802)","(1806, 1582)","(764, 1202)","(144, 144)","(144, 144)","(144, 144)"
76,aeroflot,tickets/aeroflot,aeroflotTicket.jpeg,medium,tickets/aeroflot/im_small/aeroflotTicket.jpeg,tickets/aeroflot/im_medium/aeroflotTicket.jpeg,tickets/aeroflot/im_big/aeroflotTicket.jpeg,"(1606, 1382)","(787, 1111)","(2006, 1782)","(96, 96)","(96, 96)","(96, 96)"
77,vuelingair,tickets/vuelingair,vuelingairTicket2.jpeg,medium,tickets/vuelingair/im_small/vuelingairTicket2.jpeg,tickets/vuelingair/im_medium/vuelingairTicket2.jpeg,tickets/vuelingair/im_big/vuelingairTicket2.jpeg,"(587, 911)","(793, 1115)","(987, 1311)","(96, 96)","(96, 96)","(96, 96)"
78,vuelingair,tickets/vuelingair,vuelingTicket.jpeg,medium,tickets/vuelingair/im_small/vuelingTicket.jpeg,tickets/vuelingair/im_medium/vuelingTicket.jpeg,tickets/vuelingair/im_big/vuelingTicket.jpeg,"(593, 915)","(564, 1003)","(993, 1315)","(72, 72)","(72, 72)","(72, 72)"
79,vuelingair,tickets/vuelingair,vuelingairTicket.jpeg,medium,tickets/vuelingair/im_small/vuelingairTicket.jpeg,tickets/vuelingair/im_medium/vuelingairTicket.jpeg,tickets/vuelingair/im_big/vuelingairTicket.jpeg,"(364, 803)","(793, 1115)","(764, 1203)","(96, 96)","(96, 96)","(96, 96)"
80,unitedair,tickets/unitedair,unitedairTicket.jpeg,medium,tickets/unitedair/im_small/unitedairTicket.jpeg,tickets/unitedair/im_medium/unitedairTicket.jpeg,tickets/unitedair/im_big/unitedairTicket.jpeg,"(593, 915)","(550, 299)","(993, 1315)","(96, 96)","(96, 96)","(96, 96)"
