,file_analyzed,size_category,original_file_name,dir_name,exec_time,result,trip _start,trip_end,routes
39,tickets/royaldutchair/im_small/klmairTicket2.jpeg,small,klmairTicket2.jpeg,tickets/royaldutchair,14.33836579322815,200,-1,-1,"[[5.899012088775635e-05, ['Amsterdam Airport Schiphol', 'Amsterdam Airport Schiphol']], [1464.641953773968, ['Amsterdam Airport Schiphol', 'Lennart Meri Tallinn Airport']]]"
40,tickets/royaldutchair/im_medium/klmairTicket2.jpeg,medium,klmairTicket2.jpeg,tickets/royaldutchair,14.65025806427002,200,-1,-1,"[[5.899012088775635e-05, ['Amsterdam Airport Schiphol', 'Amsterdam Airport Schiphol']], [1464.641953773968, ['Amsterdam Airport Schiphol', 'Lennart Meri Tallinn Airport']]]"
41,tickets/royaldutchair/im_big/klmairTicket2.jpeg,big,klmairTicket2.jpeg,tickets/royaldutchair,14.838905096054077,200,-1,-1,"[[5.899012088775635e-05, ['Amsterdam Airport Schiphol', 'Amsterdam Airport Schiphol']], [1464.641953773968, ['Amsterdam Airport Schiphol', 'Lennart Meri Tallinn Airport']]]"
42,tickets/royaldutchair/im_small/royaldutchairTicket.jpeg,small,royaldutchairTicket.jpeg,tickets/royaldutchair,7.581507921218872,200,Stavanger Airport Sola,Amsterdam Airport Schiphol,[]
43,tickets/royaldutchair/im_medium/royaldutchairTicket.jpeg,medium,royaldutchairTicket.jpeg,tickets/royaldutchair,7.472886085510254,200,Stavanger Airport Sola,Amsterdam Airport Schiphol,[]
44,tickets/royaldutchair/im_big/royaldutchairTicket.jpeg,big,royaldutchairTicket.jpeg,tickets/royaldutchair,7.558656930923462,200,Stavanger Airport Sola,Amsterdam Airport Schiphol,[]
45,tickets/aireuropa/im_small/aireuropaTicket.jpeg,small,aireuropaTicket.jpeg,tickets/aireuropa,7.285524129867554,400,,,[]
46,tickets/aireuropa/im_medium/aireuropaTicket.jpeg,medium,aireuropaTicket.jpeg,tickets/aireuropa,11.366342306137085,400,,,[]
47,tickets/aireuropa/im_big/aireuropaTicket.jpeg,big,aireuropaTicket.jpeg,tickets/aireuropa,9.934011220932007,400,,,[]
48,tickets/aireuropa/im_small/aireuropaTicket2.jpeg,small,aireuropaTicket2.jpeg,tickets/aireuropa,10.033177852630615,200,-1,-1,"[[5016.721216781251, ['Augusta State Airport', 'Palma De Mallorca Airport']], [4968.141453703223, ['Augusta State Airport', 'Barcelona International Airport']], [0.0, ['Augusta State Airport', 'Augusta State Airport']], [2528.779448493309, ['Augusta State Airport', 'Senador Petr̫nio Portela Airport']], [11863.422633475006, ['Augusta State Airport', 'Guangzhou Baiyun International Airport']], [8817.360397298604, ['Augusta State Airport', 'Sainte Marie Airport']], [2769.8167843499377, ['Augusta State Airport', 'Pinto Martins International Airport']], [903.4592246528582, ['Augusta State Airport', 'Anderson Regional Airport']], [128.83772155483135, ['Palma De Mallorca Airport', 'Barcelona International Airport']], [5016.721216781251, ['Palma De Mallorca Airport', 'Augusta State Airport']], [4195.455076297469, ['Palma De Mallorca Airport', 'Senador Petr̫nio Portela Airport']], [7573.185833504222, ['Palma De Mallorca Airport', 'Guangzhou Baiyun International Airport']], [4628.673226952917, ['Palma De Mallorca Airport', 'Sainte Marie Airport']], [3966.650430529123, ['Palma De Mallorca Airport', 'Pinto Martins International Airport']], [5905.866268688163, ['Palma De Mallorca Airport', 'Anderson Regional Airport']], [4968.141453703223, ['Barcelona International Airport', 'Augusta State Airport']], [4230.951651875964, ['Barcelona International Airport', 'Senador Petr̫nio Portela Airport']], [7603.6253242417915, ['Barcelona International Airport', 'Guangzhou Baiyun International Airport']], [4736.425246507192, ['Barcelona International Airport', 'Sainte Marie Airport']], [4009.508427159646, ['Barcelona International Airport', 'Pinto Martins International Airport']], [5861.829709175798, ['Barcelona International Airport', 'Anderson Regional Airport']], [0.0, ['Senador Petr̫nio Portela Airport', 'Senador Petr̫nio Portela Airport']], [10472.264179221283, ['Senador Petr̫nio Portela Airport', 'Guangzhou Baiyun International Airport']], [6441.990244364188, ['Senador Petr̫nio Portela Airport', 'Sainte Marie Airport']], [303.9960842965677, ['Senador Petr̫nio Portela Airport', 'Pinto Martins International Airport']], [2884.929146007446, ['Senador Petr̫nio Portela Airport', 'Anderson Regional Airport']], [4110.919379870407, ['Guangzhou Baiyun International Airport', 'Sainte Marie Airport']], [10472.264179221283, ['Guangzhou Baiyun International Airport', 'Senador Petr̫nio Portela Airport']], [10221.180913366841, ['Guangzhou Baiyun International Airport', 'Pinto Martins International Airport']], [11317.331355154805, ['Guangzhou Baiyun International Airport', 'Anderson Regional Airport']], [6441.990244364188, ['Sainte Marie Airport', 'Senador Petr̫nio Portela Airport']], [6158.039174863937, ['Sainte Marie Airport', 'Pinto Martins International Airport']], [9326.580163379394, ['Sainte Marie Airport', 'Anderson Regional Airport']], [303.9960842965677, ['Pinto Martins International Airport', 'Senador Petr̫nio Portela Airport']], [0.0, ['Pinto Martins International Airport', 'Pinto Martins International Airport']], [3171.6834127037946, ['Pinto Martins International Airport', 'Anderson Regional Airport']], [3171.6834127037946, ['Anderson Regional Airport', 'Pinto Martins International Airport']], [2884.929146007446, ['Anderson Regional Airport', 'Senador Petr̫nio Portela Airport']], [5.899012088775635e-05, ['Anderson Regional Airport', 'Anderson Regional Airport']]]"
